Month,Sales(kg),Supplier_Name
1,3675.25,Walmart
2,4588.39,Walmart
3,5079.92,Walmart
4,5541.03,Walmart
5,6134.35,Walmart
6,6564.08,Walmart
7,7156.3,Walmart
8,7073.38,Walmart
9,7322.49,Walmart
10,7118.39,Walmart
11,6690.86,Walmart
12,7130.17,Walmart
13,6862.55,Walmart
14,6133.64,Walmart
15,6243.72,Walmart
16,4937.7,Walmart
17,4625.68,Walmart
18,3935.87,Walmart
19,3626.13,Walmart
20,2970.22,Walmart
21,2095.3,Walmart
22,1578.75,Walmart
23,833.25,Walmart
24,207.06,Walmart
25,223.85,Walmart
26,122.69,Walmart
27,249.73,Walmart
28,273.48,Walmart
29,101,Walmart
30,374.94,Walmart
31,585.83,Walmart
32,963.3,Walmart
33,1434.93,Walmart
34,2755.33,Walmart
35,2893.41,Walmart
36,3558.83,Walmart
1,3895.01,Carrefour
2,5041.29,Carrefour
3,5279.44,Carrefour
4,6229.28,Carrefour
5,6694,Carrefour
6,7464.08,Carrefour
7,7693.98,Carrefour
8,7852.11,Carrefour
9,8247.98,Carrefour
10,8372.63,Carrefour
11,8200.5,Carrefour
12,8018.03,Carrefour
13,7478.48,Carrefour
14,7069.42,Carrefour
15,6447.78,Carrefour
16,5872.35,Carrefour
17,5085.81,Carrefour
18,4171.92,Carrefour
19,3809.45,Carrefour
20,2962.34,Carrefour
21,2020.83,Carrefour
22,1801.42,Carrefour
23,967.71,Carrefour
24,696.18,Carrefour
25,479.42,Carrefour
26,129.73,Carrefour
27,232.05,Carrefour
28,-209.45,Carrefour
29,283.37,Carrefour
30,358.04,Carrefour
31,730.27,Carrefour
32,1302.27,Carrefour
33,1957,Carrefour
34,2700.15,Carrefour
35,3172.32,Carrefour
36,4325.73,Carrefour
1,3901.42,Tesco
2,4181.04,Tesco
3,5444.08,Tesco
4,6140.74,Tesco
5,6549.67,Tesco
6,6749.75,Tesco
7,6947.7,Tesco
8,7641.08,Tesco
9,7501.48,Tesco
10,7857.23,Tesco
11,7562.75,Tesco
12,7505.45,Tesco
13,7057.86,Tesco
14,6702.22,Tesco
15,6048.85,Tesco
16,5817.82,Tesco
17,4846.82,Tesco
18,4230.06,Tesco
19,3843.55,Tesco
20,2525.59,Tesco
21,1901.84,Tesco
22,1763.71,Tesco
23,821.05,Tesco
24,1018.72,Tesco
25,223.74,Tesco
26,-54.01,Tesco
27,388.42,Tesco
28,330.57,Tesco
29,559.9,Tesco
30,635.94,Tesco
31,658.6,Tesco
32,1684.68,Tesco
